word,meaning,source_sentence,target_sentence,input_text,target_text
Tráo Trạo Trạo trực,Trố mắt Đảo Rạo rực,Nhìn cái gì mà tráo mắt dữ vậy?,Nhìn cái gì mà trố mắt dữ thế?,Tráo Trạo Trạo trực [SEP] Trố mắt Đảo Rạo rực [SEP] Nhìn cái gì mà tráo mắt dữ vậy?,Nhìn cái gì mà trố mắt dữ thế?
Lội qua lội lại,Thay đổi đặt cược liên tục từ bên này sang bên kia.,mới có chuyện lội qua lội lại mà bắt cá hai tay .,mới có chuyện quay xe cá cược liên tục mà thành 'bắt cá hai tay'.,Lội qua lội lại [SEP] Thay đổi đặt cược liên tục từ bên này sang bên kia. [SEP] mới có chuyện lội qua lội lại mà bắt cá hai tay .,mới có chuyện quay xe cá cược liên tục mà thành 'bắt cá hai tay'.
Hổng thẳng,"Thủng thẳng, thong thả, từ từ.",Hổng thẳng đi. Việc chi phải chen lấn.,Cứ thong thả đi. Việc gì phải chen lấn nhau.,"Hổng thẳng [SEP] Thủng thẳng, thong thả, từ từ. [SEP] Hổng thẳng đi. Việc chi phải chen lấn.",Cứ thong thả đi. Việc gì phải chen lấn nhau.
Nhành,Cành cây Cành nhánh um tùm.,Mé bớt ba cái nhành cây,Tỉa bớt mấy cái cành cây,Nhành [SEP] Cành cây Cành nhánh um tùm. [SEP] Mé bớt ba cái nhành cây,Tỉa bớt mấy cái cành cây
Lỏng nhỏng,"1. Đi long nhong, đi rông không mục đích.2. (Bé trai) cởi truồng đi lại.","Dạo này nó thất nghiệp, ăn ở không rồi đi lỏng nhỏng","Dạo này nó thất nghiệp, ăn không ngồi rồi đi lêu lổng","Lỏng nhỏng [SEP] 1. Đi long nhong, đi rông không mục đích.2. (Bé trai) cởi truồng đi lại. [SEP] Dạo này nó thất nghiệp, ăn ở không rồi đi lỏng nhỏng","Dạo này nó thất nghiệp, ăn không ngồi rồi đi lêu lổng"
Cẩu (Cậu),Cậu ấy (gọi tắt người nam được nhắc tới).,Cậu em có ở nhà hông? - Cẩu đi đâu rồi chị ơi.,Cậu em có ở nhà không? - Cậu ấy đi đâu rồi chị ơi.,Cẩu (Cậu) [SEP] Cậu ấy (gọi tắt người nam được nhắc tới). [SEP] Cậu em có ở nhà hông? - Cẩu đi đâu rồi chị ơi.,Cậu em có ở nhà không? - Cậu ấy đi đâu rồi chị ơi.
Hớ hênh,"Sơ ý, hơ hỏng","Đi ngủ nhớ khóa cửa nẻo đàng hoàng, hớ hỏng là trộm vô khuân hết.","Đi ngủ nhớ khóa cửa cẩn thận, sơ hở là trộm vào bê sạch đồ.","Hớ hênh [SEP] Sơ ý, hơ hỏng [SEP] Đi ngủ nhớ khóa cửa nẻo đàng hoàng, hớ hỏng là trộm vô khuân hết.","Đi ngủ nhớ khóa cửa cẩn thận, sơ hở là trộm vào bê sạch đồ."
Lòng chảo,"Xoáy nước, chỗ nước chảy cuộn tròn, trũng sâu ở giữa.",Mày lội gần cái lòng chảo coi chừng bị cuốn vô là chết hụt đó nghen em.,Mày bơi gần cái vùng xoáy nước coi chừng bị cuốn vào là chết hụt đó nhé em.,"Lòng chảo [SEP] Xoáy nước, chỗ nước chảy cuộn tròn, trũng sâu ở giữa. [SEP] Mày lội gần cái lòng chảo coi chừng bị cuốn vô là chết hụt đó nghen em.",Mày bơi gần cái vùng xoáy nước coi chừng bị cuốn vào là chết hụt đó nhé em.
Làm mướn,Làm thuê.,Cái thân làm mướn của tôi kiếm không đủ ăn,Cái thân làm thuê của tôi kiếm không đủ ăn,Làm mướn [SEP] Làm thuê. [SEP] Cái thân làm mướn của tôi kiếm không đủ ăn,Cái thân làm thuê của tôi kiếm không đủ ăn
Tém ổ gà,Chải tóc búi cao phía sau,"Hổm rày con đó cứ tém ổ gà hoài, có chuyện gì vậy?","Dạo này cô ấy cứ chải tóc búi cao phía sau mãi, có chuyện gì vậy?","Tém ổ gà [SEP] Chải tóc búi cao phía sau [SEP] Hổm rày con đó cứ tém ổ gà hoài, có chuyện gì vậy?","Dạo này cô ấy cứ chải tóc búi cao phía sau mãi, có chuyện gì vậy?"
Nhám (cào,"Thô ráp, sần sùi, sạn bẩn, nhám xịt.",Nhám chân,Sạn chân,"Nhám (cào [SEP] Thô ráp, sần sùi, sạn bẩn, nhám xịt. [SEP] Nhám chân",Sạn chân
Bác bé,Bắt bẻ,"Mình còn bác bé không chịu, thì nghe sao cho phải?","Mình còn bắt bẻ không chịu, thì nghe sao cho lọt?","Bác bé [SEP] Bắt bẻ [SEP] Mình còn bác bé không chịu, thì nghe sao cho phải?","Mình còn bắt bẻ không chịu, thì nghe sao cho lọt?"
Bờ đắp,Bờ được đắp để giữ nước cho những khoảnh ruộng,Ai đi bờ đắp một mình Chờ tôi đi với kẻo tình tôi quên,Anh ấy đang be bờ để giữ nước cho ruộng lúa,Bờ đắp [SEP] Bờ được đắp để giữ nước cho những khoảnh ruộng [SEP] Ai đi bờ đắp một mình Chờ tôi đi với kẻo tình tôi quên,Anh ấy đang be bờ để giữ nước cho ruộng lúa
Sò Sò sè,Nhát gan Khó thở,Sao? Bộ mày sò rồi hả?,Sao? Bộ cậu nhát rồi à?,Sò Sò sè [SEP] Nhát gan Khó thở [SEP] Sao? Bộ mày sò rồi hả?,Sao? Bộ cậu nhát rồi à?
Doi Doi doi Don Don don,"Thon thả, nhỏ nhắn, vừa vặn dễ nhìn",Con bé ấy có thân hình doi trông ngộ,Cô bé đó có thân hình thon thả trông rất đẹp,"Doi Doi doi Don Don don [SEP] Thon thả, nhỏ nhắn, vừa vặn dễ nhìn [SEP] Con bé ấy có thân hình doi trông ngộ",Cô bé đó có thân hình thon thả trông rất đẹp
Ro ro,"Trôi chảy, nhanh","Chú Ba hay nói tới chuyện ro ro hoài, tao quen tai rồi.","Chú Ba hay nói tới chuyện trôi chảy mãi, tớ quen tai rồi.","Ro ro [SEP] Trôi chảy, nhanh [SEP] Chú Ba hay nói tới chuyện ro ro hoài, tao quen tai rồi.","Chú Ba hay nói tới chuyện trôi chảy mãi, tớ quen tai rồi."
Nưng,"Nâng, bợ đỡ, nâng đỡ tạo điều kiện.","Nưng em nó dậy, xem em nó có sao hôn.",Nâng em dậy xem em có sao không.,"Nưng [SEP] Nâng, bợ đỡ, nâng đỡ tạo điều kiện. [SEP] Nưng em nó dậy, xem em nó có sao hôn.",Nâng em dậy xem em có sao không.
Bên hữu Bên tả,Bên phải (tốt) Bên trái (xấu),Người thiện sẽ được đứng bên hữu,Người tốt sẽ được đứng bên phải,Bên hữu Bên tả [SEP] Bên phải (tốt) Bên trái (xấu) [SEP] Người thiện sẽ được đứng bên hữu,Người tốt sẽ được đứng bên phải
Sếnh tay,Lẹ tay chộp giật,Nó sếnh tay hơn nên lấy được đồ ngon.,Nó nhanh tay hơn nên lấy được đồ ngon.,Sếnh tay [SEP] Lẹ tay chộp giật [SEP] Nó sếnh tay hơn nên lấy được đồ ngon.,Nó nhanh tay hơn nên lấy được đồ ngon.
Mút chỉ,1. Hết chỉ có trong cuộn.,Mày thả mút chỉ đi sợ gì.,Mày thả (diều) hết cuộn chỉ đi sợ gì.,Mút chỉ [SEP] 1. Hết chỉ có trong cuộn. [SEP] Mày thả mút chỉ đi sợ gì.,Mày thả (diều) hết cuộn chỉ đi sợ gì.
Qua,Cách xưng hô thân mật của người lớn với người nhỏ,Qua nói cho em nghe cái này nè.,Tôi nói cho em nghe cái này nhé.,Qua [SEP] Cách xưng hô thân mật của người lớn với người nhỏ [SEP] Qua nói cho em nghe cái này nè.,Tôi nói cho em nghe cái này nhé.
Rê,"Xấp, bánh (thuốc lá)","Chuyện rê này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện xấp này nghe lạ nhưng thật đó, tớ chứng kiến.","Rê [SEP] Xấp, bánh (thuốc lá) [SEP] Chuyện rê này nghe lạ nhưng thiệt đó, tao chứng kiến.","Chuyện xấp này nghe lạ nhưng thật đó, tớ chứng kiến."
Ê càng,"Khiếp sợ, chùn bước hoặc sợ do đau","Thua vụ hùn hạp này đau quá, chắc ổng ê càng luôn rồi","Thua vụ làm ăn này đau quá, chắc ông ấy khiếp vía luôn rồi","Ê càng [SEP] Khiếp sợ, chùn bước hoặc sợ do đau [SEP] Thua vụ hùn hạp này đau quá, chắc ổng ê càng luôn rồi","Thua vụ làm ăn này đau quá, chắc ông ấy khiếp vía luôn rồi"
Quá cỡ,Vượt quá mức độ bình thường,Ăn chơi quá cỡ rồi đó nghen.,Ăn chơi quá đà rồi đấy nhé.,Quá cỡ [SEP] Vượt quá mức độ bình thường [SEP] Ăn chơi quá cỡ rồi đó nghen.,Ăn chơi quá đà rồi đấy nhé.
Nhót nhét,Nhóp nhép (âm thanh tiếng nhai).,"Vô làm việc rồi mà vẫn nhai kẹo cao su nhót nhét, thấy phát ghét.",Thái độ bực dọc trước hành động nhai kẹo phát ra tiếng ồn nơi làm việc.,"Nhót nhét [SEP] Nhóp nhép (âm thanh tiếng nhai). [SEP] Vô làm việc rồi mà vẫn nhai kẹo cao su nhót nhét, thấy phát ghét.",Thái độ bực dọc trước hành động nhai kẹo phát ra tiếng ồn nơi làm việc.
Tựa Tưa tưởi,Giống Rách bươm,Cái áo rách nhìn tưa tưởi thấy tội.,Chiếc áo rách tả tơi thấy tội.,Tựa Tưa tưởi [SEP] Giống Rách bươm [SEP] Cái áo rách nhìn tưa tưởi thấy tội.,Chiếc áo rách tả tơi thấy tội.
Xẻo (1),Một miếng thịt nhỏ,"Ở dưới quê người ta hay xẻo lắm, trên này ít hơn.","Ở dưới quê người ta hay một miếng thịt nhỏ lắm, trên này ít hơn.","Xẻo (1) [SEP] Một miếng thịt nhỏ [SEP] Ở dưới quê người ta hay xẻo lắm, trên này ít hơn.","Ở dưới quê người ta hay một miếng thịt nhỏ lắm, trên này ít hơn."
Bứng (3),"Kiểu, cách (ý mỉa mai)","Mày chơi cái bứng này, mơi mốt ai chơi với mày nữa","Cậu chơi cái kiểu này, mai kia ai chơi với cậu nữa","Bứng (3) [SEP] Kiểu, cách (ý mỉa mai) [SEP] Mày chơi cái bứng này, mơi mốt ai chơi với mày nữa","Cậu chơi cái kiểu này, mai kia ai chơi với cậu nữa"
Tưng bốc công,"Nịnh hót, lấy lòng","Tao học được cái tưng bốc này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái nịnh hót này từ hồi nhỏ, giờ vẫn nhớ.","Tưng bốc công [SEP] Nịnh hót, lấy lòng [SEP] Tao học được cái tưng bốc này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái nịnh hót này từ hồi nhỏ, giờ vẫn nhớ."
Cuồn (2),"Cuộn, dâng lên dồn dập không ngừng (nói về sóng nước)",Rách buồm nước chảy có cuồn,Buồm rách nước chảy sóng cuộn dồn dập,"Cuồn (2) [SEP] Cuộn, dâng lên dồn dập không ngừng (nói về sóng nước) [SEP] Rách buồm nước chảy có cuồn",Buồm rách nước chảy sóng cuộn dồn dập
Thài lai,Xen vào chuyện người khác,"Chuyện của tui, anh đừng có thài lai vô.","Chuyện của tôi, anh đừng có can thiệp vào.","Thài lai [SEP] Xen vào chuyện người khác [SEP] Chuyện của tui, anh đừng có thài lai vô.","Chuyện của tôi, anh đừng có can thiệp vào."
Con chó,"Râu tôm, cá líp (chốt gài líp xe đạp)","Cái xe bị trật con chó rồi, còn đạp được cái gì nữa mà đạp","Xe đạp bị trượt cá líp đứt xích rồi, không đạp đi được nữa đâu","Con chó [SEP] Râu tôm, cá líp (chốt gài líp xe đạp) [SEP] Cái xe bị trật con chó rồi, còn đạp được cái gì nữa mà đạp","Xe đạp bị trượt cá líp đứt xích rồi, không đạp đi được nữa đâu"
Đạo dụ,Chỉ những người nam quan hệ tình dục lăng nhăng (từ tục),"Gặp cái thằng đạo dụ đó mà nó tha đàn bà, con gái nhà ai",Gặp cái gã chuyên đi lừa tình đó thì hắn chẳng tha cho người phụ nữ nào đâu,"Đạo dụ [SEP] Chỉ những người nam quan hệ tình dục lăng nhăng (từ tục) [SEP] Gặp cái thằng đạo dụ đó mà nó tha đàn bà, con gái nhà ai",Gặp cái gã chuyên đi lừa tình đó thì hắn chẳng tha cho người phụ nữ nào đâu
Tắt đài,"Câm nín, hết đường chối","Hổm rày bả cứ tắt đài hoài, có chuyện gì vậy?","Dạo này bà ấy cứ câm nín mãi, có chuyện gì vậy?","Tắt đài [SEP] Câm nín, hết đường chối [SEP] Hổm rày bả cứ tắt đài hoài, có chuyện gì vậy?","Dạo này bà ấy cứ câm nín mãi, có chuyện gì vậy?"
Xác bụng,Một loài cá da trơn nhỏ,Cá xác bụng kho tiêu ăn bắt cơm lắm.,Cá xác bụng kho tiêu ăn rất tốn cơm.,Xác bụng [SEP] Một loài cá da trơn nhỏ [SEP] Cá xác bụng kho tiêu ăn bắt cơm lắm.,Cá xác bụng kho tiêu ăn rất tốn cơm.
Răn rắt,Nghe theo răm rắp,Nói là nghe theo răn rắt.,Nói là nghe theo tắp lự.,Răn rắt [SEP] Nghe theo răm rắp [SEP] Nói là nghe theo răn rắt.,Nói là nghe theo tắp lự.
Rồn rảng,Tiếng lớn vang xa,Ăn nói gì mà rồn rảng vậy.,Ăn nói gì mà oang oang thế.,Rồn rảng [SEP] Tiếng lớn vang xa [SEP] Ăn nói gì mà rồn rảng vậy.,Ăn nói gì mà oang oang thế.
Bén chết,"Gần chết, suýt chết",Tông vào tôi một cái đau bén chết,Đâm vào tôi một cú đau suýt chết,"Bén chết [SEP] Gần chết, suýt chết [SEP] Tông vào tôi một cái đau bén chết",Đâm vào tôi một cú đau suýt chết
Xăng (khẩn),"Xăng xái, khẩn trương",Làm xăng lên để còn nghỉ sớm.,Làm nhanh lên để còn nghỉ sớm.,"Xăng (khẩn) [SEP] Xăng xái, khẩn trương [SEP] Làm xăng lên để còn nghỉ sớm.",Làm nhanh lên để còn nghỉ sớm.
Lụp chụp lưởi chưởi,Hấp tấp vội vã nói không nên lời.,"Chớ làm cái gì lụp chụp lưởi chưởi, tôi làm hổng được.","Chứ làm cái gì hấp tấp cuống cuồng, tôi làm không được.","Lụp chụp lưởi chưởi [SEP] Hấp tấp vội vã nói không nên lời. [SEP] Chớ làm cái gì lụp chụp lưởi chưởi, tôi làm hổng được.","Chứ làm cái gì hấp tấp cuống cuồng, tôi làm không được."
Xẹp kỉ nìn,Hư hỏng phá sản,Công ty nó bị xẹp kỉ nìn rồi.,Công ty nó bị phá sản hoàn toàn rồi.,Xẹp kỉ nìn [SEP] Hư hỏng phá sản [SEP] Công ty nó bị xẹp kỉ nìn rồi.,Công ty nó bị phá sản hoàn toàn rồi.
Cụp,"Sự dứt khoát, lập tức, ngay tức thì (cái cụp)","Đi thì đi cái cụp đi, không thì thôi, chớ lừng khừng cái kiêu này mất thời gian vô ích","Quyết đi thì đi dứt khoát ngay lập tức đi, không đi thì thôi, chứ chần chừ lừng khừng thế này tốn thời gian vô ích","Cụp [SEP] Sự dứt khoát, lập tức, ngay tức thì (cái cụp) [SEP] Đi thì đi cái cụp đi, không thì thôi, chớ lừng khừng cái kiêu này mất thời gian vô ích","Quyết đi thì đi dứt khoát ngay lập tức đi, không đi thì thôi, chứ chần chừ lừng khừng thế này tốn thời gian vô ích"
Say quắc cần câu,"Say rượu bí tỉ, mất biết","Ổng xỉn quắc cần câu rồi, còn biết trăng sao gì nữa.","Ông ấy say mướt mải rồi, chẳng còn biết gì nữa.","Say quắc cần câu [SEP] Say rượu bí tỉ, mất biết [SEP] Ổng xỉn quắc cần câu rồi, còn biết trăng sao gì nữa.","Ông ấy say mướt mải rồi, chẳng còn biết gì nữa."
Dang sức (Ra sức),"Cố sức, dồn hết sức làm việc",bạn chỉ còn nước dang sức ra mà làm,bạn chỉ còn cách dồn sức ra mà làm,"Dang sức (Ra sức) [SEP] Cố sức, dồn hết sức làm việc [SEP] bạn chỉ còn nước dang sức ra mà làm",bạn chỉ còn cách dồn sức ra mà làm
Rậm đám,"Đông vui, nhộn nhịp",Đám tiệc gì mà rậm đám vậy.,Đám tiệc gì mà đông đúc/vui vẻ thế.,"Rậm đám [SEP] Đông vui, nhộn nhịp [SEP] Đám tiệc gì mà rậm đám vậy.",Đám tiệc gì mà đông đúc/vui vẻ thế.
Ăn về,Hướng tới một nơi nào đó.,Đường này ăn về đâu vậy cậu? - Đường này ăn về ngã ba Hàm Luông.,Đường này hướng tới đâu vậy cậu? - Đường này hướng tới ngã ba Hàm Luông.,Ăn về [SEP] Hướng tới một nơi nào đó. [SEP] Đường này ăn về đâu vậy cậu? - Đường này ăn về ngã ba Hàm Luông.,Đường này hướng tới đâu vậy cậu? - Đường này hướng tới ngã ba Hàm Luông.
Hầm hinh,"Gập ghềnh, nhấp nhô không bằng phẳng vững chãi.",Để cái bàn hầm hinh cái kiểu đó coi chừng đổ hết đồ ăn,Kê cái bàn cập kênh gập ghềnh kiểu đó coi chừng đổ hết thức ăn,"Hầm hinh [SEP] Gập ghềnh, nhấp nhô không bằng phẳng vững chãi. [SEP] Để cái bàn hầm hinh cái kiểu đó coi chừng đổ hết đồ ăn",Kê cái bàn cập kênh gập ghềnh kiểu đó coi chừng đổ hết thức ăn
